recclass,count,obs_cv,obs_varlog,obs_mad_ratio,obs_n,total_survived,z_null2_cv,p_null2_cv,surv_null2_cv,z_null2_varlog,p_null2_varlog,surv_null2_varlog,z_null3_cv,p_null3_cv,surv_null3_cv,z_null3_varlog,p_null3_varlog,surv_null3_varlog,z_null4_cv,p_null4_cv,surv_null4_cv,z_null4_varlog,p_null4_varlog,surv_null4_varlog
L6,8279,9.659273095823206,5.746864567055965,0.9388888888888888,8279,6,-3.8330283176345397,0.0,True,-6.738785091701887,0.0,True,-2.577113325423422,0.0,True,-4.7663953612434975,0.0,True,-2.250699488681776,0.0,True,-5.5398979101958785,0.0,True
H4,4211,9.881426160871934,5.635837575580828,0.9183783783783783,4211,6,-2.098858380501039,0.0,True,-5.084752799355989,0.0,True,-2.1906321221214164,0.0,True,-4.488878908553101,0.0,True,-1.8295568541176763,0.0,True,-5.543280901127498,0.0,True
H6,4527,9.874171612949972,4.954778472351222,0.8734177215189874,4527,6,-1.550955046966518,0.0,True,-3.434606790675426,0.0,True,-1.7910301226557916,0.0,True,-3.989330047440925,0.0,True,-1.90529830043499,0.0,True,-3.8659357068222544,0.0,True
Ureilite,300,3.0132853141574585,3.592793878870237,0.8395061728395062,300,6,-1.638940122897314,0.0,True,-2.5750632068257517,0.0,True,-1.6636518094083232,0.0,True,-2.07098654615354,0.04,True,-1.4268876238526875,0.0,True,-1.9065227909822198,0.04,True
Eucrite-pmict,207,2.627898825987294,3.374443814441616,0.8771428571428571,207,6,-1.6025168365564273,0.0,True,-1.8299941409232758,0.0,True,-2.0353007095839506,0.0,True,-2.0230760575893014,0.0,True,-1.954764088252726,0.0,True,-2.68159981665555,0.0,True
L4,1253,7.599804926352292,5.644365473376417,0.9526542324246773,1253,3,-1.4646636482180766,0.08,False,-2.334763512837544,0.0,True,-1.3461389392005478,0.12,False,-1.8977545381974057,0.08,False,-1.6686838485815858,0.0,True,-2.327545732049898,0.04,True
LL6,2043,10.808168123077506,4.237018141827892,0.8889610389610391,2043,3,-1.1202915687995505,0.2,False,-3.6265340177938636,0.0,True,-1.0407316068577155,0.24,False,-3.1426469084713866,0.0,True,-1.1199240077187418,0.24,False,-4.403330765441857,0.0,True
LL4,268,6.444916836642406,4.274087918601488,0.915407330206705,268,3,-0.7239964284850211,0.48,False,-1.9980968282991498,0.0,True,-0.4267086156386034,0.72,False,-1.7190571224045328,0.0,True,-0.5132545117013889,0.8,False,-2.045092405641457,0.0,True
H5,7138,23.62173029914869,5.6568616037638515,0.903225806451613,7138,3,-1.4900263107093605,0.16,False,-2.998381857201525,0.0,True,-1.363662974724782,0.24,False,-3.5501168282489255,0.0,True,-1.110809340909748,0.44,False,-3.6635428123706295,0.0,True
LL,225,4.5225917435157585,2.7851576199193295,0.6775456919060051,225,3,-1.1953020783590926,0.28,False,-1.7042925147584462,0.04,True,-1.003517649083933,0.32,False,-1.4358083987098178,0.0,True,-1.0494406432257508,0.4,False,-1.812854379449797,0.0,True
