recclass,count,null2,null3,null4,total
L6,8279,✓,✓,✓,6
H4,4211,✓,✓,✓,6
H6,4527,✓,✓,✓,6
Ureilite,300,✓,✓,✓,6
Eucrite-pmict,207,✓,✓,✓,6
L4,1253,✗,✗,✓,3
LL6,2043,✗,✗,✗,3
LL4,268,✗,✗,✗,3
H5,7138,✗,✗,✗,3
LL,225,✗,✗,✗,3
Eucrite,221,✓,✗,✗,3
Howardite,240,✗,✗,✗,3
E3,206,✗,✗,✗,3
LL5,2766,✗,✗,✗,3
L5,4794,✗,✗,✗,2
L5/6,109,✗,✗,✗,2
CM2,414,✗,✗,✗,1
LL3,128,✗,✗,✗,1
H3,386,✗,✗,✗,1
H5/6,193,✗,✗,✗,1
CV3,256,✗,✗,✗,0
H4/5,428,✗,✗,✗,0
"Iron, IIIAB",284,✗,✗,✗,0
L3,365,✗,✗,✗,0
CO3,334,✗,✗,✗,0
Mesosiderite,136,✗,✗,✗,0
Diogenite,241,✗,✗,✗,0
EH3,120,✗,✗,✗,0
CR2,135,✗,✗,✗,0
"Iron, IIAB",117,✗,✗,✗,0
"Iron, ungrouped",113,✗,✗,✗,0
H~5,111,✗,✗,✗,0
Eucrite-mmict,108,✗,✗,✗,0
