recclass,count,obs_cv,obs_varlog,obs_mad_ratio,obs_n,total_survived,z_null1_cv,p_null1_cv,surv_null1_cv,z_null1_varlog,p_null1_varlog,surv_null1_varlog,z_null1_mad_ratio,p_null1_mad_ratio,surv_null1_mad_ratio,z_null2_cv,p_null2_cv,surv_null2_cv,z_null2_varlog,p_null2_varlog,surv_null2_varlog,z_null2_mad_ratio,p_null2_mad_ratio,surv_null2_mad_ratio,z_null3_cv,p_null3_cv,surv_null3_cv,z_null3_varlog,p_null3_varlog,surv_null3_varlog,z_null3_mad_ratio,p_null3_mad_ratio,surv_null3_mad_ratio,z_null4_cv,p_null4_cv,surv_null4_cv,z_null4_varlog,p_null4_varlog,surv_null4_varlog,z_null4_mad_ratio,p_null4_mad_ratio,surv_null4_mad_ratio,z_null5_cv,p_null5_cv,surv_null5_cv,z_null5_varlog,p_null5_varlog,surv_null5_varlog,z_null5_mad_ratio,p_null5_mad_ratio,surv_null5_mad_ratio
Eucrite-pmict,207,2.627898825987294,3.374443814441616,0.8771428571428571,207,11,-1.8795097221103036,0.0,True,-3.6852014064948286,0.0,True,-2.3201934327892433,0.04,True,-1.7566318510862047,0.0,True,-2.4461175002535884,0.0,True,-2.7450361616491845,0.0,True,-1.5286453822344401,0.0,True,-2.4459659717954896,0.0,True,-2.037623883546744,0.1,False,-1.5937951314308072,0.0,True,-2.566437645666985,0.0,True,-2.803266008868679,0.0,True,-1.5107416302711867,0.06,False,-1.777414310857993,0.04,False,-0.9067624426123461,0.32,False
H6,4527,9.874171612949972,4.954778472351222,0.8734177215189874,4527,9,-1.9901025188529295,0.0,True,-8.770629830954867,0.0,True,-14.144187428674801,0.0,True,-1.684079856794806,0.0,True,-3.5372426708039835,0.0,True,0.26520419750318697,0.76,False,-1.6075179527476653,0.0,True,-3.0144924582858383,0.0,True,-0.12050415610921646,0.72,False,-1.6708485219802478,0.0,True,-3.8738624705330524,0.0,True,0.25575589508083707,0.92,False,-0.4497473229704945,0.74,False,-0.4806648472545252,0.66,False,-0.42075647151667445,0.66,False
H4,4211,9.881426160871934,5.635837575580828,0.9183783783783783,4211,8,-2.194823797396014,0.02,True,-4.428908484164547,0.0,True,-3.8789547879774577,0.0,True,-1.8778200569730903,0.0,True,-4.11143574643239,0.0,True,0.034196761382997154,0.92,False,-1.8058595348150903,0.02,False,-3.7433251474651423,0.0,True,1.854027436724726,0.04,False,-1.767150645153045,0.0,True,-3.913538792818982,0.0,True,-0.10058734194721217,0.88,False,-0.4808204630121957,0.8,False,-0.7047092814640599,0.58,False,-0.1489641502677246,0.94,False
L6,8279,9.659273095823206,5.746864567055965,0.9388888888888888,8279,8,-3.561090136162045,0.0,True,-6.614710893860176,0.0,True,1.1977061586456141,0.22,False,-3.9558777415796995,0.0,True,-6.757897549256339,0.0,True,1.4320839642367038,0.18,False,-2.905343708763676,0.0,True,-6.101561317841465,0.0,True,1.230015555931474,0.3,False,-2.8904417874817954,0.0,True,-7.650911712974701,0.0,True,1.679189449218426,0.06,False,-0.4184379805605654,0.78,False,-0.6178301670346594,0.62,False,-0.10373505908507737,0.94,False
Ureilite,300,3.0132853141574585,3.592793878870237,0.8395061728395062,300,8,-1.681567291097146,0.0,True,-4.21212148940919,0.0,True,-5.22494376841822,0.0,True,-1.8193296826482641,0.0,True,-2.4205671808822964,0.0,True,-2.002993460562581,0.04,False,-1.3175342860995065,0.02,False,-1.8708719633811381,0.04,False,-2.3068823134773764,0.02,False,-1.783962462942749,0.0,True,-2.4163800504699555,0.0,True,-2.415566106858947,0.02,True,-1.3749890610012188,0.12,False,-1.480326275870774,0.12,False,-1.3316634767254671,0.22,False
Eucrite,221,2.8854714067596006,3.026014795913853,0.8636363636363636,221,6,-1.8649232817543375,0.02,True,-4.780018039290229,0.0,True,-3.5648322678631135,0.0,True,-1.4451844070326554,0.02,False,-1.9391033316589574,0.02,True,0.07390796157365248,0.9,False,-1.1621034722564192,0.14,False,-1.1102107612725873,0.28,False,0.08881277891341217,0.98,False,-1.454321347705023,0.0,True,-1.9040844206122585,0.0,True,0.34251358204930665,0.88,False,-1.343993423567264,0.1,False,-1.343293911058475,0.1,False,-0.16961010853690842,0.68,False
LL,225,4.5225917435157585,2.7851576199193295,0.6775456919060051,225,6,-1.348836058719653,0.06,False,-5.061026636842422,0.0,True,-11.901827563766965,0.0,True,-1.3698669017182832,0.12,False,-3.0347450824562046,0.0,True,-0.9320708034602999,0.38,False,-1.4155724504266942,0.08,False,-2.763521019915687,0.0,True,-0.4736354608885793,0.66,False,-1.4583321796723543,0.14,False,-2.9796117383347953,0.0,True,-1.062093146160169,0.28,False,-1.1494817658612806,0.32,False,-1.7513181868953573,0.02,True,-0.7527253484414921,0.36,False
H5/6,193,3.1635670320624167,3.6300137052961277,0.8414634146341463,193,6,-1.7234641704115803,0.0,True,-3.2349638350828656,0.0,True,-3.089279570036483,0.02,True,-1.4998185990981785,0.0,True,-1.887255288645226,0.04,True,-0.12722514396892487,0.84,False,-1.0869199965761434,0.2,False,-0.5877825599140836,0.56,False,-0.20880179107102123,0.82,False,-1.676796397379147,0.0,True,-1.7088911620272418,0.06,False,-0.24348325968478104,0.72,False,-1.2564699680339027,0.16,False,-1.35651855002268,0.16,False,-0.007019610125075516,0.96,False
E3,206,6.213960754341548,0.627596405830816,0.37106918238993714,206,6,-0.5667188990798385,0.68,False,-7.513130022913662,0.0,True,-29.065962194159365,0.0,True,-0.5026440098592664,0.78,False,-1.9908310515179681,0.0,True,-2.684803501365018,0.0,True,-0.34910660359353746,0.94,False,-1.399843019097294,0.12,False,-1.4931648035644478,0.06,False,-0.596246431906684,0.66,False,-1.9803390460887929,0.02,True,-2.232976217818608,0.0,True,0.1918163155590735,0.96,False,-1.3181345067364414,0.18,False,-1.8535804377430718,0.02,False
H4/5,428,8.556723825679896,5.686022495152589,0.8344246959775492,428,6,-0.4959985651670716,0.8,False,-1.243786633694046,0.14,False,-6.739828067982003,0.0,True,-0.65397080922335,0.58,False,-1.8936813652917637,0.02,True,-4.875118870030473,0.0,True,-0.24508768877429857,0.94,False,-0.555822951290826,0.68,False,-3.4615915048966888,0.0,True,-0.6892258125467466,0.68,False,-1.856452718887154,0.04,True,-5.569140454122732,0.0,True,0.1272083974469381,0.84,False,-0.47395052932557563,0.66,False,-2.380325165475447,0.02,False
