recclass,count,null1,null2,null3,null4,null5,total
Eucrite-pmict,207,✓,✓,✗,✓,✗,11
H6,4527,✓,✗,✗,✗,✗,9
H4,4211,✓,✗,✗,✗,✗,8
L6,8279,✗,✗,✗,✗,✗,8
Ureilite,300,✓,✗,✗,✓,✗,8
Eucrite,221,✓,✗,✗,✗,✗,6
LL,225,✗,✗,✗,✗,✗,6
H5/6,193,✓,✗,✗,✗,✗,6
E3,206,✗,✗,✗,✗,✗,6
H4/5,428,✗,✗,✗,✗,✗,6
OC,73,✗,✗,✗,✗,✗,6
CK5,94,✗,✗,✗,✗,✗,6
L3.8,66,✗,✗,✗,✗,✗,6
LL3,128,✗,✗,✗,✗,✗,5
LL6,2043,✗,✗,✗,✗,✗,5
H5,7138,✗,✗,✗,✗,✗,5
LL5,2766,✗,✗,✗,✗,✗,5
L~6,94,✗,✗,✗,✗,✗,4
L4,1253,✗,✗,✗,✗,✗,4
Howardite,240,✗,✗,✗,✗,✗,4
LL4,268,✗,✗,✗,✗,✗,3
CR2,135,✓,✗,✗,✗,✗,3
EH3,120,✗,✗,✗,✗,✗,3
Eucrite-br,80,✓,✗,✗,✗,✗,3
L5,4794,✗,✗,✗,✗,✗,3
CM2,414,✗,✗,✗,✗,✗,2
H3.7,75,✗,✗,✗,✗,✗,2
L3,365,✗,✗,✗,✗,✗,2
L6 ,54,✗,✗,✗,✗,✗,2
Lunar (anorth),69,✗,✗,✗,✗,✗,2
L3.4,51,✗,✗,✗,✗,✗,2
LL-melt breccia,54,✗,✗,✗,✗,✗,2
H3.8,76,✗,✗,✗,✗,✗,2
Martian (shergottite),99,✗,✗,✗,✗,✗,2
Diogenite,241,✗,✗,✗,✗,✗,1
CO3,334,✗,✗,✗,✗,✗,1
H5-6,63,✗,✗,✗,✗,✗,1
Acapulcoite,54,✗,✗,✗,✗,✗,1
H~5,111,✗,✗,✗,✗,✗,1
L5/6,109,✗,✗,✗,✗,✗,1
Eucrite-mmict,108,✗,✗,✗,✗,✗,1
CV3,256,✗,✗,✗,✗,✗,0
"Iron, IIIAB",284,✗,✗,✗,✗,✗,0
H3,386,✗,✗,✗,✗,✗,0
Mesosiderite,136,✗,✗,✗,✗,✗,0
CK4,75,✗,✗,✗,✗,✗,0
"Iron, IAB-MG",83,✗,✗,✗,✗,✗,0
Iron,76,✗,✗,✗,✗,✗,0
L3.5,88,✗,✗,✗,✗,✗,0
"Iron, ungrouped",113,✗,✗,✗,✗,✗,0
"Iron, IIAB",117,✗,✗,✗,✗,✗,0
H,82,✗,✗,✗,✗,✗,0
Aubrite,63,✗,✗,✗,✗,✗,0
"Iron, IVA",67,✗,✗,✗,✗,✗,0
EL6,72,✗,✗,✗,✗,✗,0
H4-6,67,✗,✗,✗,✗,✗,0
L4/5,59,✗,✗,✗,✗,✗,0
Achondrite-ung,57,✗,✗,✗,✗,✗,0
"Iron, IAB complex",51,✗,✗,✗,✗,✗,0
L,50,✗,✗,✗,✗,✗,0
