recclass,count,shannon_entropy,simpson_index
Acapulcoite,54,3.988984046564274,0.9814814814814815
Acapulcoite/Lodranite,6,1.791759469228055,0.8333333333333334
Acapulcoite/lodranite,3,1.0986122886681096,0.6666666666666667
Achondrite-prim,9,2.1972245773362196,0.8888888888888888
Achondrite-ung,57,4.043051267834549,0.9824561403508771
Angrite,21,3.044522437723423,0.9523809523809524
Aubrite,63,4.143134726391533,0.9841269841269842
Aubrite-an,6,1.791759469228055,0.8333333333333334
Brachinite,33,3.4965075614664802,0.9696969696969697
C,8,2.0794415416798357,0.875
C1-ung,1,-0.0,0.0
C1/2-ung,1,-0.0,0.0
C2,1,-0.0,0.0
C2-ung,14,2.6390573296152584,0.9285714285714286
C3-ung,12,2.4849066497880004,0.9166666666666666
C3.0-ung,1,-0.0,0.0
C3/4-ung,1,-0.0,0.0
C4,2,0.6931471805599453,0.5
C4-ung,3,1.0986122886681096,0.6666666666666667
C4/5,1,-0.0,0.0
C5/6-ung,1,-0.0,0.0
C6,2,0.6931471805599453,0.5
CB,8,2.0794415416798357,0.875
CBa,5,1.6094379124341005,0.7999999999999999
CBb,5,1.6094379124341005,0.7999999999999999
CH/CBb,1,-0.0,0.0
CH3,21,3.044522437723423,0.9523809523809524
CH3 ,1,-0.0,0.0
CI1,9,2.1972245773362196,0.8888888888888888
CK,3,1.0986122886681096,0.6666666666666667
CK3,13,2.564949357461537,0.9230769230769231
CK3-an,3,1.0986122886681096,0.6666666666666667
CK3.8,1,-0.0,0.0
CK3/4,1,-0.0,0.0
CK4,75,4.31748811353631,0.9866666666666667
CK4-an,3,1.0986122886681096,0.6666666666666667
CK4/5,12,2.4849066497880004,0.9166666666666666
CK5,94,4.543294782270004,0.9893617021276596
CK5/6,6,1.791759469228055,0.8333333333333334
CK6,17,2.833213344056216,0.9411764705882353
CM,4,1.3862943611198906,0.75
CM-an,2,0.6931471805599453,0.5
CM1,19,2.9444389791664407,0.9473684210526316
CM1/2,18,2.8903717578961645,0.9444444444444444
CM2,416,6.030685260261264,0.9975961538461539
CM2-an,1,-0.0,0.0
CO3,335,5.814130531825067,0.9970149253731343
CO3 ,1,-0.0,0.0
CO3.0,4,1.3862943611198906,0.75
CO3.1,6,1.791759469228055,0.8333333333333334
CO3.2,8,2.0794415416798357,0.875
CO3.3,7,1.9459101490553132,0.8571428571428572
CO3.4,5,1.6094379124341005,0.7999999999999999
CO3.5,12,2.4849066497880004,0.9166666666666666
CO3.6,7,1.9459101490553132,0.8571428571428572
CO3.7,1,-0.0,0.0
CO3.8,3,1.0986122886681096,0.6666666666666667
CR,8,2.0794415416798357,0.875
CR-an,1,-0.0,0.0
CR1,2,0.6931471805599453,0.5
CR2,135,4.90527477843843,0.9925925925925926
CR2-an,1,-0.0,0.0
CR7,1,-0.0,0.0
CV2,1,-0.0,0.0
CV3,256,5.545177444479562,0.99609375
CV3-an,4,1.3862943611198906,0.75
Chondrite-fusion crust,4,1.3862943611198906,0.75
Chondrite-ung,15,2.70805020110221,0.9333333333333333
Diogenite,241,5.484796933490655,0.995850622406639
Diogenite-an,3,1.0986122886681096,0.6666666666666667
