recclass,count,unique_names,shannon_obs,shannon_null_mean,shannon_null_std,shannon_effect,shannon_zscore,shannon_pvalue,simpson_obs,simpson_null_mean,simpson_null_std,simpson_effect,simpson_zscore,simpson_pvalue,shannon_fdr_q,simpson_fdr_q
Acapulcoite,54,54,3.988984046564274,3.9889840465642745,4.440892098500626e-16,-4.440892098500626e-16,-1.0,1.0,0.9814814814814815,0.9814814814814813,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,1.0,1.0
Acapulcoite/Lodranite,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
Acapulcoite/lodranite,3,3,1.0986122886681096,1.0986122886681091,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,1.0
Achondrite-prim,9,9,2.1972245773362196,2.197224577336219,4.440892098500626e-16,4.440892098500626e-16,1.0,1.0,0.8888888888888888,0.8888888888888892,3.3306690738754696e-16,-3.3306690738754696e-16,-1.0,1.0,1.0,1.0
Achondrite-ung,57,57,4.043051267834549,4.043051267834549,0.0,0.0,0.0,1.0,0.9824561403508771,0.9824561403508769,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,1.0,1.0
Angrite,21,21,3.044522437723423,3.044522437723423,0.0,0.0,0.0,1.0,0.9523809523809524,0.9523809523809524,0.0,0.0,0.0,1.0,1.0,1.0
Aubrite,63,63,4.143134726391533,4.143134726391533,0.0,0.0,0.0,1.0,0.9841269841269842,0.9841269841269842,0.0,0.0,0.0,1.0,1.0,1.0
Aubrite-an,6,6,1.791759469228055,1.7917594692280547,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0
Brachinite,33,33,3.4965075614664802,3.4965075614664802,0.0,0.0,0.0,1.0,0.9696969696969697,0.9696969696969694,3.3306690738754696e-16,3.3306690738754696e-16,1.0,1.0,1.0,1.0
C,8,8,2.0794415416798357,2.0794415416798357,0.0,0.0,0.0,1.0,0.875,0.875,0.0,0.0,0.0,1.0,1.0,1.0
C1-ung,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
C1/2-ung,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
C2,1,1,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
