recclass,count,mass_mean,mass_median,cv_obs,cv_null_mean,cv_null_std,cv_effect,cv_zscore,cv_pvalue,log_range_obs,log_range_null_mean,log_range_null_std,log_range_effect,log_range_zscore,log_range_pvalue,cv_fdr_q,log_range_fdr_q
Acapulcoite,54,490.4244074074074,50.625,2.5845061884384237,4.53287486758203,1.4341437809495403,-1.9483686791436061,-1.3585588174803505,0.18,3.6270879970298933,5.034271657344181,0.7652429091046588,-1.407183660314288,-1.8388718713652712,0.056,0.5823529411764706,0.22
Acapulcoite/Lodranite,6,31.793333333333333,29.8,0.7527243301710757,1.5657401649230256,0.44215300562117854,-0.8130158347519499,-1.8387658218216747,0.068,1.3748162098249,2.7083191734726095,0.9829982827907098,-1.3335029636477096,-1.3565669309837705,0.104,0.3835897435897436,0.3315942028985507
Achondrite-prim,9,1078.0,678.0,1.089771467995655,1.9189513823492625,0.5709074181829695,-0.8291799143536076,-1.4523894557065724,0.136,1.5085815100967315,3.1862770124018756,0.9033690339123167,-1.677695502305144,-1.8571540968582563,0.032,0.554074074074074,0.17170731707317075
Achondrite-ung,57,895.8456140350878,136.0,2.4538933722100666,4.557496547651234,1.4730809734694634,-2.1036031754411675,-1.4280295607149627,0.112,4.927712461900276,5.036722226016394,0.8316564187137228,-0.10900976411611829,-0.13107547980537168,0.972,0.5133333333333333,0.9930275229357798
Angrite,21,1382.3700000000001,392.0,2.5071211042053845,2.8671180866205406,0.8947317673477001,-0.3599969824151561,-0.4023518506359888,0.76,4.440646747728094,4.112817296090912,0.9292636237687788,0.32782945163718136,0.3527841220208492,0.672,0.9232786885245902,0.8902923976608186
Aubrite,63,67150.61333333334,159.9,5.912658165292639,4.8257609394723895,1.5497911256479646,1.0868972258202492,0.7013185246920417,0.548,7.477121254719663,5.14296592002336,0.831164604986767,2.3341553346963027,2.808294916183858,0.036,0.9133333333333333,0.176
Aubrite-an,6,8390.77,71.01,1.419505853667586,1.5556186535953933,0.47316865148038556,-0.13611279992780734,-0.2876623366783834,0.852,2.7436983605717438,2.730113139580223,1.0210541430576499,0.013585220991520597,0.013305093646491928,0.864,0.9440776699029125,0.9697959183673469
Brachinite,33,565.0403030303031,196.0,1.6970044866248735,3.6428013985983543,1.126783507687311,-1.9457969119734808,-1.7268595952093495,0.036,2.989276134608227,4.604681469903037,0.8884229456815773,-1.6154053352948097,-1.8182841214839498,0.016,0.273103448275862,0.12137931034482759
C,8,156.4475,33.33,2.030416251354752,1.7986908545965452,0.5294948963724281,0.2317253967582067,0.4376348069561358,0.708,2.648425652386992,3.0488039969688097,0.9550452664631126,-0.40037834458181765,-0.41922446887210635,0.772,0.915813953488372,0.9331868131868132
C2-ung,14,1129.1014285714286,253.93,2.23418562095666,2.386572736665471,0.7440856739880807,-0.15238711570881103,-0.2047978089566768,0.884,3.744727494896694,3.7104147132900116,0.9280652816619219,0.034312781606682385,0.03697237929775498,0.944,0.9440776699029125,0.9915492957746478
C3-ung,12,617.5666666666667,192.4,1.9765555112262485,2.165784699232524,0.6542325219909629,-0.1892291880062753,-0.28923843074999134,0.864,2.0163179552750283,3.487461398865372,0.956729802067913,-1.4711434435903437,-1.5376791236256642,0.068,0.9440776699029125,0.24933333333333335
CB,8,97.425,2.25,2.5147709514397065,1.7974425869487907,0.524624418081255,0.7173283644909159,1.3673179130976219,0.236,3.0273496077747564,3.051055286053759,0.9578844814250539,-0.02370567827900283,-0.02474795107207047,0.92,0.633170731707317,0.9873170731707317
CBa,5,44043.2,2000.0,1.2112212562259002,1.3863129063953252,0.43101874697284215,-0.17509165016942507,-0.40622745854824116,0.776,3.2937307569224816,2.4961010515497066,1.0054149981978826,0.797629705372775,0.7933338042524287,0.388,0.9275675675675675,0.6566153846153846
CBb,5,653.56,30.5,1.927569458412289,1.3881458790726502,0.4184192681272351,0.5394235793396389,1.289193926833236,0.236,3.2584320234141178,2.4068400853937364,0.9124267171918485,0.8515919380203814,0.9333263943007973,0.3,0.633170731707317,0.5945945945945946
CH3,21,223.7309523809524,46.9,2.1272695757965376,2.849294242310393,0.8719614724169454,-0.7220246665138554,-0.8280465242489581,0.476,3.6522463410033232,4.0740344598745635,0.9259468251756642,-0.42178811887124024,-0.45552088673258484,0.736,0.844516129032258,0.9096629213483145
CI1,9,2390.192888888889,12.206,1.8797208604794182,1.9059647323268736,0.5792743177776298,-0.026243871847455358,-0.045304739122803264,0.988,4.146128035678238,3.212504946960944,1.0171167126627443,0.9336230887172943,0.9179114619728652,0.316,0.9879999999999999,0.6063865546218488
CK3,13,214.65692307692308,91.94,1.2287098662836946,2.275648944076836,0.7255553778730325,-1.0469390777931415,-1.4429485463428666,0.108,1.4421516994563135,3.625827383313479,1.011737823391245,-2.1836756838571656,-2.1583414530631075,0.004,0.5133333333333333,0.04888888888888889
CK4,75,1276.9617999999998,28.77,4.548568879537028,5.159090271061604,1.6682486247602482,-0.6105213915245766,-0.36596546969269494,0.88,5.018388393383747,5.302146451471604,0.8469039959404928,-0.2837580580878569,-0.33505339382977123,0.804,0.9440776699029125,0.9355789473684212
CK4/5,12,241.56583333333336,120.45,1.158718435612117,2.276367041094099,0.6665861110443947,-1.1176486054819819,-1.676675506681156,0.052,1.9109806513031398,3.647528078112493,0.9420084655740537,-1.736547426809353,-1.8434520392033977,0.028,0.3364705882352941,0.1711111111111111
CK5,94,131.56787234042554,29.05,2.7274546891267324,5.487116043278199,1.883834464911532,-2.7596613541514667,-1.4649171174820104,0.044,3.566732028986219,5.434515842454447,0.7936721582348202,-1.8677838134682276,-2.353344254411423,0.0,0.31225806451612903,0.0
CK5/6,6,145.73333333333332,98.05,0.8402556165440407,1.558561916850861,0.4684534447052316,-0.7183063003068204,-1.5333568541881586,0.108,1.0695868857968216,2.7689262673950332,1.094608572392092,-1.6993393815982116,-1.5524630671259747,0.06,0.5133333333333333,0.23157894736842105
CK6,17,103.32235294117648,31.0,2.4421883347878035,2.6515504481173604,0.8073943738518318,-0.2093621133295569,-0.2593058858346439,0.812,3.0,3.9921720845657354,0.9559638277346292,-0.9921720845657354,-1.0378761787639077,0.292,0.9344329896907216,0.5893577981651376
CM1,19,45.68578947368421,2.5,3.3774931936034216,2.7388766893740257,0.8391394699742171,0.6386165042293959,0.7610373806502245,0.516,3.288050395543606,3.9878917506455323,0.8894442566791461,-0.6998413551019262,-0.7868299219951945,0.448,0.88,0.7090647482014388
CM1/2,18,175.79944444444445,2.3,3.923117351178089,2.6401803494375757,0.7921439456823695,1.282937001740513,1.6195755944777992,0.124,4.157643818289179,3.893588189973975,0.9037592100808807,0.2640556283152038,0.29217475780033547,0.688,0.5147169811320755,0.8902923976608186
CM2,414,368.379615942029,9.45,13.49378615969992,10.770931815571828,4.37778866223358,2.7228543441280912,0.6219702580934711,0.484,5.853871964321762,6.688515480378408,0.7593979739378766,-0.8346435160566461,-1.0990857820288642,0.24,0.8518399999999999,0.5443298969072164
CO3,334,511.84785928143714,18.05,10.185542602735445,9.819351504767402,3.728476468510865,0.36619109796804317,0.09821467322128442,0.792,5.977723605288848,6.524631625796339,0.767308062435136,-0.546908020507491,-0.7127619886748207,0.544,0.9312169312169312,0.8075949367088607
CO3.1,6,303.31666666666666,200.5,0.8067551104261951,1.5925726232375688,0.45860593791125903,-0.7858175128113737,-1.7134917973160448,0.088,1.0192756043171456,2.8077102016614655,1.036276137916991,-1.7884345973443199,-1.7258282149960875,0.028,0.44,0.1711111111111111
CO3.2,8,25598.88875,513.5,2.5751369739864756,1.7873486209242546,0.5191802127090597,0.787788353062221,1.5173697567393327,0.16,3.9118639112994487,3.046736893599339,0.9514301005841167,0.8651270177001096,0.9092911998148654,0.364,0.5770491803278689,0.6563934426229509
CO3.3,7,4314.801428571429,484.0,2.0019132819504613,1.6862866366825058,0.5291993552720281,0.3156266452679555,0.596422958802948,0.676,2.847195503684711,2.929187399138073,0.9654511386694437,-0.08199189545336205,-0.08492599176625434,0.996,0.915813953488372,0.996
CO3.4,5,1415.594,79.47,1.6392733155028416,1.3915945182733378,0.41668304702777176,0.2476787972295038,0.5944057455569968,0.684,3.6320232147054057,2.46480403178714,0.9789228646175709,1.1672191829182657,1.1923505161709091,0.256,0.915813953488372,0.552156862745098
CO3.5,12,4799.423333333333,375.0,2.9481848878827606,2.2504687579230382,0.6504241117493595,0.6977161299597223,1.0727095096200658,0.404,3.1452888190269475,3.5715251948641473,0.9426301876245841,-0.42623637583719987,-0.45217772720743227,0.736,0.8154128440366973,0.9096629213483145
CO3.6,6,1010.1183333333333,529.3,1.2885345494789935,1.555097024133232,0.45323861193444687,-0.26656247465423855,-0.5881283448392349,0.644,2.3749572915650163,2.779697458823181,1.0267785725357805,-0.40474016725816453,-0.39418446984007394,0.752,0.915813953488372,0.9191111111111111
CR,8,271.8225,135.0,1.2390658750842287,1.8224688755044771,0.5274919129071849,-0.5834030004202484,-1.1059942079584097,0.328,3.105993125698888,3.105181617285942,0.9942073140333051,0.0008115084129460826,0.0008162366153332259,0.932,0.7516666666666666,0.9905314009661836
CR2,135,226.89688888888887,36.5,3.3081400951529005,6.832029316617397,2.492823324245924,-3.523889221464496,-1.4136137074738213,0.072,4.336252647546313,5.835496041228979,0.9012953564225097,-1.4992433936826668,-1.6634318406272257,0.032,0.3863414634146341,0.17170731707317075
CV3,256,8953.69018359375,72.64999999999999,13.94480965990762,8.7043806413463,3.325653743786764,5.24042901856132,1.5757590604108689,0.232,7.301029995663981,6.306442007117862,0.8044816303786531,0.9945879885461189,1.2363091349618345,0.252,0.633170731707317,0.552156862745098
Chondrite-ung,15,997.562,143.03,2.047960074762308,2.4330832210379425,0.7157304871782253,-0.3851231462756344,-0.5380840318734867,0.66,2.9448392845817866,3.7215292441006596,0.8612760403580092,-0.776689959518873,-0.9017898131660831,0.38,0.915813953488372,0.6566153846153846
Diogenite,241,899.4614522821578,48.8,4.211385633804179,8.551122796080938,3.2140509032953655,-4.339737162276759,-1.3502390885680209,0.06,4.651062536701785,6.25302996534296,0.8185039767425701,-1.6019674286411751,-1.957189548444936,0.004,0.36666666666666664,0.04888888888888889
Diogenite-olivine,9,747.5777777777778,500.0,0.847862785024719,1.9433690988030958,0.5532105034711512,-1.095506313778377,-1.9802702712702658,0.028,1.7365861919419876,3.2366454944777154,0.9607214705737065,-1.5000593025357278,-1.5613883404104096,0.068,0.273103448275862,0.24933333333333335
Diogenite-pm,11,2209.5454545454545,117.8,2.558607602997008,2.156389545850361,0.6400083644827159,0.4022180571466474,0.6284575006636647,0.652,3.1487416512809245,3.482281222096295,0.94013200032787,-0.33353957081537056,-0.3547795104294386,0.796,0.915813953488372,0.9355789473684212
E,7,57210.88428571429,124.0,1.5785076941600855,1.6965599767418107,0.4789144006939421,-0.11805228258172518,-0.2464997553021346,0.872,5.515700160653214,2.8431462289631186,0.8854335013629203,2.6725539316900955,3.018356463332725,0.008,0.9440776699029125,0.0704
E-an,5,18.86,19.9,0.40642321725112507,1.3941886543752637,0.4149374588578847,-0.9877654371241387,-2.3805164273260915,0.008,0.46605582856950245,2.4642727266061963,0.9630511121866471,-1.998216898036694,-2.0748814603408334,0.008,0.13538461538461538,0.0704
E3,206,2.387621359223301,0.795,6.198859976845211,8.019265354825974,2.957291251200481,-1.8204053779807632,-0.6155651315174956,0.656,2.845098040014257,6.132680377020708,0.8406605101923292,-3.2875823370064508,-3.910713417779439,0.0,0.915813953488372,0.0
E3-an,6,25.666666666666668,4.3,1.5447428242214427,1.5636501131966225,0.45724875433597306,-0.018907288975179792,-0.04135011587431743,0.952,2.440515521112228,2.7188050820577083,0.9687547549083317,-0.2782895609454803,-0.28726523357484157,0.84,0.9786915887850467,0.9624999999999999
E5,5,1.0979999999999999,0.38,1.1580230777128033,1.4100618207022981,0.41738186415265655,-0.2520387429894948,-0.6038564792487298,0.584,2.2278867046136734,2.5189655925831085,0.9745390677903162,-0.29107888796943504,-0.29868365218998505,0.816,0.915813953488372,0.939895287958115
E6,9,345.2577777777778,65.0,1.976639308872694,1.912534412860413,0.5730407542002135,0.06410489601228098,0.11186795274578935,0.864,2.211988839532731,3.224417416387604,0.9419892332250281,-1.0124285768548726,-1.0747772279611794,0.292,0.9440776699029125,0.5893577981651376
EH-imp melt,6,82.70333333333335,53.185,1.2857099711041469,1.55018404680708,0.4567587780290443,-0.26447407570293313,-0.5790235205640991,0.668,2.7180862947830917,2.7331444880916247,1.0243171420569421,-0.015058193308532974,-0.014700713958856977,0.888,0.915813953488372,0.9806965174129354
