recclass,count,mean_mass,cv_obs,cv_null_mean,cv_null_std,cv_effect,cv_zscore,cv_pvalue,cv_fdr_q
L5,4794,1797.351702753442,18.431195267270375,34.44345403548592,11.814513765967199,-16.012258768215546,-1.3553040849078648,0.292,0.8131645569620253
H6,4527,862.3669882924675,9.87308096605727,33.60394975637566,12.41724423854684,-23.730868790318393,-1.9111220118108558,0.0,0.0
EH4,18,7701.782222222221,3.2283947263164774,2.9635402759293195,0.6263875957555097,0.26485445038715794,0.42282837684182906,0.692,0.9093333333333333
Acapulcoite,54,490.4244074074074,2.5845061884384237,4.449844373593418,1.3271989544282705,-1.8653381851549944,-1.4054699025577089,0.088,0.6133333333333333
L6,8279,1450.4442837299193,9.658689718314244,38.49764035782068,9.140819381568896,-28.838950639506436,-3.1549634048842377,0.0,0.0
LL3-6,9,2142.6355555555556,2.176958656425517,1.572300420038761,0.686442982995121,0.6046582363867561,0.8808571889663469,0.504,0.8598473282442748
H5,7138,2166.091410198935,23.620075594912194,38.11065543020966,10.058206294605341,-14.490579835297467,-1.4406723635276206,0.22,0.7682539682539682
L,50,3130.59006,2.0512314752325884,4.120719110408556,1.4247348589222502,-2.069487635175968,-1.4525422903889957,0.092,0.6133333333333333
Diogenite-pm,11,2209.5454545454545,2.558607602997008,2.1583456634036096,0.5600468159543606,0.4002619395933986,0.7146937152232945,0.548,0.8673381294964029
H4,4211,997.4195499881263,9.880252803845785,31.747463116046724,11.67395608173941,-21.86721031220094,-1.8731619477655892,0.004,0.088
H,82,3537.4928414634146,6.227132428354912,4.997028834835164,1.828529763948876,1.2301035935197477,0.6727282310478925,0.488,0.8598473282442748
"Iron, IVA",67,463545.47910447756,6.82673070420837,4.36224190397771,1.8477979980460213,2.4644888002306606,1.3337436250265273,0.32,0.830561797752809
LL5,2766,464.6758839479393,18.83029040844298,26.893419702749792,11.830639174410244,-8.063129294306812,-0.6815463793154488,0.636,0.8745
CI1,9,2390.192888888889,1.8797208604794182,2.0271152893723934,0.47495218026906877,-0.14739442889297516,-0.31033530324984215,0.872,0.9450246305418719
L/LL4,20,22547.43335,3.221550997884548,2.6126413703404734,0.8400438905955993,0.6089096275440746,0.7248545395792972,0.496,0.8598473282442748
Eucrite-mmict,108,5963.286018518519,5.578635858733939,5.980375237472276,2.145435954573109,-0.40173937873833676,-0.18725302793682014,0.992,0.992
CV3,256,8953.69018359375,13.94480965990762,8.427881615052538,3.328342161494888,5.5169280448550815,1.6575603640393795,0.18,0.7479999999999999
Stone-uncl,30,10750.528333333334,2.8937119157389666,3.073110253709481,1.0827160786701495,-0.17939833797051463,-0.16569287323308377,0.98,0.9889908256880734
L3,365,1534.4467863013697,14.099603720003241,10.126611209330703,4.019717100308943,3.9729925106725386,0.9883761497462561,0.404,0.8598473282442748
Angrite,21,1382.3700000000001,2.5071211042053845,2.7524583788939325,0.890904221050919,-0.24533727468854805,-0.2753800789035951,0.856,0.9412935323383084
LL6,2043,691.8267361722956,10.805522628453842,24.086417620367804,10.420436994473473,-13.280894991913962,-1.2745046104071784,0.16,0.7479999999999999
L4,1253,1635.8802490023943,7.5967716774083405,18.051814597479282,7.466424423507246,-10.455042920070941,-1.400274392004069,0.08,0.606896551724138
Aubrite,63,67150.61333333334,5.912658165292639,4.571328961625275,1.526654182328255,1.3413292036673639,0.8786070998880326,0.424,0.8598473282442748
"Iron, IIAB",117,322715.86017094017,6.6589149430159145,5.6368751400183195,2.33604021652202,1.022039802997595,0.43750950680089074,0.616,0.8743225806451613
"Iron, IAB-sLL",27,164194.64074074072,3.641447250558206,2.8424136956904613,1.0414792907502766,0.7990335548677447,0.767210219122192,0.476,0.8598473282442748
"Iron, ungrouped",113,422159.3985840708,6.018670235148355,5.514211563062988,2.323958565755994,0.5044586720853674,0.21706870316823607,0.68,0.9065060240963857
CM2,414,368.379615942029,13.49378615969992,11.561750582237506,4.047172185897073,1.932035577462413,0.4773791399819499,0.608,0.8742857142857142
Mesosiderite-A1,6,698206.3333333334,2.0090874537813423,1.3435698933290208,0.4840045857531113,0.6655175604523216,1.3750232539982572,0.26,0.8131645569620253
LL4,268,874.7136940298508,6.43288150058146,8.291371052274968,3.3033598803866147,-1.8584895516935083,-0.5626058373863875,0.756,0.9134782608695653
C2-ung,14,1129.1014285714286,2.23418562095666,2.334734908573676,0.7035454897336088,-0.10054928761701598,-0.14291796207106391,0.96,0.9773271889400921
LL3.8,28,603.8921428571429,1.9975718268488736,2.9821921047936604,1.1365388767315228,-0.9846202779447868,-0.8663322461756645,0.516,0.8600000000000001
Howardite,240,652.054125,4.588835625963014,8.452868324150883,3.2841957766086423,-3.8640326981878683,-1.1765537017339396,0.2,0.7479999999999999
Eucrite-pmict,207,481.8213043478261,2.6215435595471335,7.842692057922876,3.0986698867512077,-5.221148498375742,-1.6849644167323166,0.012,0.17600000000000002
Diogenite,241,899.4614522821578,4.211385633804179,8.470910977768106,3.232109838528162,-4.259525343963928,-1.317877657865622,0.072,0.606896551724138
LL3.9,16,1586.9524999999999,2.039769405242076,2.4851232910684264,0.7242049928131322,-0.4453538858263504,-0.6149555585033998,0.64,0.8745341614906833
"Iron, IAB-MG",83,1301547.2313253013,4.948233080163683,4.71531878140203,2.0476029245828613,0.23291429876165282,0.11374973925137474,0.78,0.9223529411764707
Eucrite,221,436.19876470588235,2.878935789292414,8.105015646832982,3.1402725032970484,-5.226079857540568,-1.6642122147213592,0.004,0.088
H4-an,10,312.90099999999995,1.3355826473773493,1.9846510015622105,0.6231141136573605,-0.6490683541848612,-1.0416524677561267,0.444,0.8598473282442748
L/LL6,26,12365.51076923077,3.4405270228455676,2.982465380476758,0.9952943545465032,0.45806164236880953,0.460227308912569,0.612,0.8742857142857142
"Iron, IIIAB",284,488805.94697183097,7.941048215211246,8.676203149315384,3.452035066784796,-0.7351549341041386,-0.21296276540691614,0.908,0.9603846153846155
OC,73,3133.017534246575,5.5463511265882985,4.771535232248881,1.7075254569279745,0.7748158943394179,0.45376535453438954,0.644,0.874567901234568
H/L4,13,1456.9884615384615,2.793823424975059,2.3142331946495416,0.6119232150638557,0.4795902303255173,0.7837424999073959,0.492,0.8598473282442748
H4-5,47,747.896744680851,1.619198370051983,4.0169566412467645,1.3505953156193076,-2.397758271194782,-1.7753343606817589,0.004,0.088
L3.7,49,1082.1699999999998,3.4796790954916665,4.018082881265327,1.4527479096746851,-0.5384037857736605,-0.37061060779239097,0.832,0.9412935323383084
LL3.4,20,1283.8229999999999,2.4256927045356402,2.9368627931759095,0.7722013239928581,-0.5111700886402692,-0.6619647917684701,0.6,0.8742857142857142
EL6,72,1993.5326944444444,2.940451031975538,4.785852759909432,1.663026070653382,-1.8454017279338935,-1.1096649418182953,0.248,0.8131645569620253
H3.8,76,1473.9910526315791,3.7412853080057493,5.077967904999548,1.7258153386880037,-1.336682596993799,-0.7745223761946451,0.528,0.8604444444444446
H3-5,39,1565.5741025641023,2.373014708006444,3.7693646666676903,1.2670261024558975,-1.3963499586612462,-1.1020688176468332,0.296,0.8139999999999998
H5-6,63,2883.4873015873018,6.539076341006044,4.464852397711527,1.5914902781832578,2.074223943294517,1.3033217806786208,0.28,0.8131645569620253
Mesosiderite,136,4135.128588235294,4.881580154814957,6.219858041648331,2.2645995354490367,-1.3382778868333745,-0.5909556483981234,0.676,0.9065060240963857
L3-6,32,3800.45625,4.554957305218766,3.3476858433701446,1.087366738876691,1.207271461848621,1.1102707289867981,0.332,0.830561797752809
H4-6,67,1615.7073134328357,3.591745806578145,4.5953018828844385,1.5145016775629834,-1.0035560763062934,-0.6626312081219591,0.612,0.8742857142857142
Ureilite,300,490.0149,3.008258979858941,9.481409911400544,3.868305964657223,-6.4731509315416025,-1.6733813174768348,0.0,0.0
"Iron, IID",19,67423.61578947368,1.9507339298698876,2.3513277887204587,0.8732995419392325,-0.4005938588505711,-0.45871300694950545,0.784,0.9223529411764707
CO3.3,7,4314.801428571429,2.0019132819504613,1.6516078500361004,0.4495997722120785,0.3503054319143608,0.7791494870889747,0.544,0.8673381294964029
H3,386,796.078378238342,9.197091951938791,11.091199609083299,4.303283286942742,-1.8941076571445077,-0.4401540709373499,0.86,0.9412935323383084
