recclass,count,cv_obs,cv_null_mean_null2,cv_zscore_null2,cv_pvalue_null2,cv_fdr_q_null2,cv_null_mean_null3,cv_zscore_null3,cv_pvalue_null3,cv_fdr_q_null3,cv_null_mean_null4,cv_zscore_null4,cv_pvalue_null4,cv_fdr_q_null4,survives_null2,survives_null3,survives_null4,nulls_survived
Acapulcoite,54,2.5845061884384237,4.449844373593418,-1.4054699025577089,0.088,0.6133333333333333,3.874193193922781,-1.009581380447627,0.328,0.8530612244897958,4.493414591719095,-1.40318700842175,0.088,0.6914285714285714,False,False,False,0
Acapulcoite/Lodranite,6,0.7527243301710757,0.7044608183282405,1.2269829991707735,0.228,0.7837500000000001,0.7041589394590838,1.2536679685306413,0.216,0.8221052631578947,0.7017485220309434,1.3273571349602011,0.196,0.7586206896551724,False,False,False,0
Achondrite-prim,9,1.089771467995655,1.7538712634283928,-1.1209077627784267,0.304,0.8156097560975609,1.4497817849384376,-0.6583678811953835,0.644,0.9504,1.7722290295789402,-1.1146836574597343,0.32,0.7652173913043478,False,False,False,0
Achondrite-ung,57,2.4538933722100666,4.382589053884147,-1.2931357742005194,0.132,0.6453333333333334,3.758761308208754,-0.9646869536927491,0.396,0.88,4.406629569829036,-1.2729605051113417,0.132,0.7516666666666666,False,False,False,0
Angrite,21,2.5071211042053845,2.7524583788939325,-0.2753800789035951,0.856,0.9412935323383084,2.775445036699795,-0.2975333709530696,0.872,0.9810526315789475,2.7361535314880783,-0.26186881945243684,0.872,0.9403921568627451,False,False,False,0
Aubrite,63,5.912658165292639,4.571328961625275,0.8786070998880326,0.424,0.8598473282442748,4.831719081753575,0.7031867673556492,0.524,0.9504,4.381814538394428,1.0941782818935906,0.316,0.7652173913043478,False,False,False,0
Aubrite-an,6,1.419505853667586,1.707367381524095,-0.9119897110409224,0.548,0.8673381294964029,1.766739562715658,-1.1650800618509078,0.34,0.8530612244897958,1.6726152136798247,-0.8117107086307727,0.612,0.8912820512820512,False,False,False,0
Brachinite,33,1.6970044866248735,3.4139131076712856,-1.4956384120478992,0.116,0.613953488372093,2.6836361136626645,-0.9180923001617172,0.364,0.8530612244897958,3.322859395165572,-1.369388895381119,0.152,0.7516666666666666,False,False,False,0
C,8,2.030416251354752,1.659172309382145,1.719573492417415,0.056,0.606896551724138,1.653729516806959,1.6856983227926357,0.076,0.8221052631578947,1.7391470454585087,1.3261189013354555,0.14,0.7516666666666666,False,False,False,0
C2-ung,14,2.23418562095666,2.334734908573676,-0.14291796207106391,0.96,0.9773271889400921,2.130431085738384,0.1508249946445123,0.82,0.9810526315789475,2.28990249932335,-0.0807260945946994,0.996,0.996,False,False,False,0
C3-ung,12,1.9765555112262485,1.9780211970325146,-0.0019854787698200646,0.892,0.9480193236714977,1.9911738083542276,-0.020752767739857302,0.944,0.982803738317757,2.257477896986734,-0.3915657492080066,0.788,0.9119170984455959,False,False,False,0
CB,8,2.5147709514397065,2.458647211673533,0.8925713099227504,0.484,0.8598473282442748,2.460844956481874,0.8965636865844063,0.444,0.9215094339622643,2.4573788646437382,0.8979470390279422,0.5,0.8672463768115942,False,False,False,0
CBa,5,1.2112212562259002,1.333128455866971,-0.31243359531440307,0.928,0.9667605633802817,1.3979776461690367,-0.5078176893962079,0.752,0.9810526315789475,1.3424842934589658,-0.3382318093981752,0.928,0.9492592592592594,False,False,False,0
CBb,5,1.927569458412289,1.9210635541584102,0.1058235407766499,0.964,0.9773271889400921,1.9095941258665228,0.3121571757790692,0.848,0.9810526315789475,1.9239595774332319,0.05993366379391915,0.912,0.9464150943396227,False,False,False,0
CH3,21,2.1272695757965376,3.193935701673566,-1.4806023838815288,0.092,0.6133333333333333,2.9205969192116727,-1.1590612413703023,0.176,0.8221052631578947,3.119257301685219,-1.3513768696368949,0.14,0.7516666666666666,False,False,False,0
CI1,9,1.8797208604794182,2.0271152893723934,-0.31033530324984215,0.872,0.9450246305418719,2.1973855133332623,-0.7458070382447709,0.588,0.9504,2.072569555833594,-0.4370329086146736,0.776,0.9119170984455959,False,False,False,0
CK3,13,1.2287098662836946,1.017221693439815,1.225940959581654,0.26,0.8131645569620253,1.032957028599511,1.156124475848547,0.28,0.8221052631578947,1.0254186053420633,1.2039157554439228,0.244,0.7652173913043478,False,False,False,0
CK4,75,4.548568879537028,5.183463689740492,-0.38523902132837345,0.816,0.9412935323383084,4.874345524776303,-0.19714357945364647,0.956,0.982803738317757,5.263646334104099,-0.4205389916031209,0.78,0.9119170984455959,False,False,False,0
CK4/5,12,1.158718435612117,1.1062496446315158,0.45484106145852077,0.744,0.9093333333333333,1.088830498305993,0.5670421942300374,0.648,0.9504,1.0924742536165593,0.5144213318335309,0.744,0.9119170984455959,False,False,False,0
CK5,94,2.7274546891267324,4.37044123549275,-0.6869447119207552,0.744,0.9093333333333333,3.7005910979351357,-0.505979317773624,0.948,0.982803738317757,4.295197943654928,-0.6588399959728698,0.796,0.9119170984455959,False,False,False,0
