recclass,count,null2,null3,null4,total,z_null2
L6,8279,✓,✓,✓,3,-3.1549634048842377
H4,4211,✓,✗,✓,2,-1.8731619477655892
H6,4527,✓,✓,✗,2,-1.9111220118108558
EH3,120,✓,✗,✗,1,-1.6548369425751062
H4-5,47,✓,✗,✗,1,-1.7753343606817589
L6-melt breccia,10,✓,✗,✗,1,-1.7581326220460196
LL4-5,10,✓,✗,✗,1,2.681292934454053
Ureilite,300,✓,✗,✗,1,-1.6733813174768348
L3.4,51,✓,✗,✗,1,-1.7786114220607547
Eucrite,221,✓,✗,✗,1,-1.6642122147213592
E5,5,✗,✓,✗,1,2.591739160373907
Angrite,21,✗,✗,✗,0,-0.2753800789035951
CBa,5,✗,✗,✗,0,-0.31243359531440307
CBb,5,✗,✗,✗,0,0.1058235407766499
CH3,21,✗,✗,✗,0,-1.4806023838815288
CI1,9,✗,✗,✗,0,-0.31033530324984215
CK3,13,✗,✗,✗,0,1.225940959581654
CK4,75,✗,✗,✗,0,-0.38523902132837345
CK4/5,12,✗,✗,✗,0,0.45484106145852077
CK5,94,✗,✗,✗,0,-0.6869447119207552
CK5/6,6,✗,✗,✗,0,-0.812645997488736
CK6,17,✗,✗,✗,0,2.1723054140016407
Aubrite-an,6,✗,✗,✗,0,-0.9119897110409224
Aubrite,63,✗,✗,✗,0,0.8786070998880326
Acapulcoite,54,✗,✗,✗,0,-1.4054699025577089
Acapulcoite/Lodranite,6,✗,✗,✗,0,1.2269829991707735
Achondrite-prim,9,✗,✗,✗,0,-1.1209077627784267
Achondrite-ung,57,✗,✗,✗,0,-1.2931357742005194
CO3.2,8,✗,✗,✗,0,1.6397800896787176
CO3.1,6,✗,✗,✗,0,0.046234968729085335
CO3,334,✗,✗,✗,0,0.02981510216263701
CM2,414,✗,✗,✗,0,0.4773791399819499
CM1/2,18,✗,✗,✗,0,-0.002629965120499239
CR2,135,✗,✗,✗,0,-1.448032700409189
CR,8,✗,✗,✗,0,2.325251061644049
CO3.3,7,✗,✗,✗,0,0.7791494870889747
Chondrite-ung,15,✗,✗,✗,0,-0.5136370688377211
Diogenite,241,✗,✗,✗,0,-1.317877657865622
Diogenite-pm,11,✗,✗,✗,0,0.7146937152232945
Diogenite-olivine,9,✗,✗,✗,0,-1.4236670202603245
E,7,✗,✗,✗,0,-0.5770298344519901
E-an,5,✗,✗,✗,0,1.6080910852392072
CO3.5,12,✗,✗,✗,0,1.1769098604335517
CO3.4,5,✗,✗,✗,0,0.04497276005630277
E3-an,6,✗,✗,✗,0,1.7657151720946795
E3,206,✗,✗,✗,0,0.9239219254888958
EH-imp melt,6,✗,✗,✗,0,-1.484663566893767
E6,9,✗,✗,✗,0,-0.5704825404081111
EH4/5,9,✗,✗,✗,0,-0.699361521787088
EH5,6,✗,✗,✗,0,-1.0394298640001642
EH6,5,✗,✗,✗,0,1.3971116682040703
EH4,18,✗,✗,✗,0,0.42282837684182906
EL3,19,✗,✗,✗,0,-0.917746845488749
EL4,13,✗,✗,✗,0,-1.4546793894160435
EL5,6,✗,✗,✗,0,-0.06195941657759361
EL6,72,✗,✗,✗,0,-1.1096649418182953
Eucrite-br,80,✗,✗,✗,0,-1.7407818120751786
Eucrite-cm,26,✗,✗,✗,0,-0.7413790928658965
CV3,256,✗,✗,✗,0,1.6575603640393795
CO3.6,6,✗,✗,✗,0,-0.7995867787139904
Eucrite-pmict,207,✗,✗,✗,0,-1.6849644167323166
Eucrite-mmict,108,✗,✗,✗,0,-0.18725302793682014
Eucrite-unbr,32,✗,✗,✗,0,1.5795708514454188
